Time,T_meas
0,-2.4
3600,-2.1
7200,-0.9
10800,-1.8
14400,-2.1
18000,0.1
21600,0.1
25200,0.6
28800,2
32400,2.6
36000,3.2
39600,3.4
43200,3.7
46800,3.7
50400,2.9
54000,2.7
57600,3.2
61200,3.3
64800,3.5
68400,4
72000,4.1
75600,4
79200,4.4
82800,4.5
86400,3.6
90000,3
93600,3.9
97200,4
100800,3.4
104400,2.2
108000,2.4
111600,1.8
115200,3.1
118800,1.9
122400,2.9
126000,3.7
129600,4.3
133200,4.3
136800,4.2
140400,4
144000,2.9
147600,2.9
151200,3.7
154800,3.6
158400,3.5
162000,2.3
165600,1.5
169200,2.2
172800,2.6
176400,2.6
180000,2.4
183600,2.7
187200,2.9
190800,2.6
194400,1.7
198000,0.7
201600,1.2
205200,1.6
208800,1.5
212400,1.3
216000,1.1
219600,1.2
223200,1.4
226800,1.6
230400,1.8
234000,1.2
237600,1.7
241200,0.5
244800,0.7
248400,0.9
252000,1.3
255600,0.6
259200,0.4
262800,-1.1
266400,-1.7
270000,-2.1
273600,-1.2
277200,-0.4
280800,-0.1
284400,0.2
288000,-0.1
291600,-0.1
295200,0
298800,0.1
302400,-0.1
306000,-0.1
309600,-0.1
313200,-0.1
316800,0
320400,0.1
324000,0.4
327600,0.8
331200,1.1
334800,0.8
338400,1.1
342000,2.2
345600,2
349200,0.3
352800,2.4
356400,0
360000,2.5
363600,0.7
367200,-0.4
370800,0.2
374400,-1.1
378000,0.6
381600,0.5
385200,-0.5
388800,0.5
392400,0.3
396000,0.8
399600,1.9
403200,1.7
406800,1.3
410400,0.6
414000,0.1
417600,0.8
421200,0.8
424800,1.3
428400,0.9
432000,0.5
435600,0.1
439200,-0.1
442800,-0.1
446400,0.1
450000,0
453600,0.1
457200,0.1
460800,0
464400,-0.1
468000,0
471600,0.1
475200,0.1
478800,0.3
482400,0.3
486000,0.3
489600,0.7
493200,2
496800,1.9
500400,2.3
504000,1.7
507600,1.3
511200,1.6
514800,2.1
518400,1.9
522000,2.3
525600,3.2
529200,3.6
532800,3.6
536400,4.1
540000,4.5
543600,3.9
547200,4.2
550800,4.6
554400,4.7
558000,4.9
561600,5
565200,5.2
568800,5.9
572400,7
576000,6.7
579600,7.1
583200,7.3
586800,7.6
590400,7.3
594000,7.3
597600,7.5
601200,7.5
604800,7.1
608400,6.6
612000,6.4
615600,5.1
619200,4.9
622800,4
626400,3.6
630000,3.1
633600,3
637200,2.5
640800,1.7
644400,1.9
648000,1.9
651600,0.2
655200,0.4
658800,0.5
662400,0.6
666000,1.4
669600,0.5
673200,1.1
676800,0.8
680400,0.3
684000,0.1
687600,-0.3
691200,0.1
694800,-0.1
698400,0.4
702000,0.2
705600,0.2
709200,0.1
712800,0.3
716400,0.4
720000,0.3
723600,0.9
727200,1
730800,2.5
734400,1.4
738000,1.2
741600,1.9
745200,1.5
748800,1
752400,1.1
756000,0.5
759600,0.7
763200,0.6
766800,0.8
770400,1.3
774000,0
777600,-0.7
781200,-0.3
784800,-0.7
788400,-1
792000,-0.6
795600,-0.2
799200,-0.3
802800,-0.5
806400,0
810000,-0.5
813600,-0.5
817200,-0.4
820800,-0.4
824400,-0.3
828000,-0.1
831600,-0.1
835200,0
838800,0.2
842400,0.2
846000,0.4
849600,0
853200,0.2
856800,1.3
860400,1.4
864000,1.1
867600,2.1
871200,2
874800,2
878400,2.6
882000,3.1
885600,2.8
889200,2.7
892800,3
896400,3.3
900000,3.2
903600,3.7
907200,4.4
910800,6.1
914400,5.4
918000,6.8
921600,7.3
925200,6
928800,6.2
932400,5.1
936000,6.3
939600,6.5
943200,6.7
946800,6.8
950400,7
954000,6
957600,7.8
961200,7.1
964800,6.8
968400,6.4
972000,6.2
975600,5.8
979200,7
982800,6.5
986400,5.9
990000,4.8
993600,4.5
997200,3.7
1000800,2.2
1004400,2.2
1008000,2.1
1011600,1.9
1015200,1.9
1018800,1.7
1022400,1.7
1026000,1.6
1029600,1.6
1033200,1.4
1036800,0.9
1040400,0.4
1044000,0.1
1047600,0.3
1051200,0.1
1054800,-0.2
1058400,-0.5
1062000,-0.6
1065600,-0.4
1069200,-0.2
1072800,-0.3
1076400,-0.1
1080000,-0.3
1083600,-0.3
1087200,-0.3
1090800,-0.2
1094400,-0.4
1098000,-0.4
1101600,-0.3
1105200,-0.3
1108800,-0.3
1112400,-0.5
1116000,-0.7
1119600,-0.8
1123200,-1.3
1126800,-1.4
1130400,-1.5
1134000,-1.6
1137600,-1.4
1141200,-1.5
1144800,-1.6
1148400,-1.7
1152000,-2.1
1155600,-2.2
1159200,-1.8
1162800,-1.8
1166400,-1.9
1170000,-2.2
1173600,-2.5
1177200,-2.8
1180800,-3.9
1184400,-6.4
1188000,-7
1191600,-7.5
1195200,-8.1
1198800,-8.3
1202400,-8.5
1206000,-8.3
1209600,-8.9
1213200,-9
1216800,-9.4
1220400,-9.6
1224000,-10.4
1227600,-10.9
1231200,-11.8
1234800,-11.2
1238400,-11.6
1242000,-11.5
1245600,-10.1
1249200,-7.7
1252800,-6.8
1256400,-6.4
1260000,-6.1
1263600,-5.2
1267200,-5.2
1270800,-4.3
1274400,-4.5
1278000,-3.7
1281600,-3.6
1285200,-2.8
1288800,-2.1
1292400,-1.4
1296000,-0.7
1299600,-0.1
1303200,0.5
1306800,0.4
1310400,0.7
1314000,0.9
1317600,0.6
1321200,0.7
1324800,1
1328400,2.2
1332000,2.2
1335600,2.8
1339200,3.4
1342800,1.6
1346400,2.1
1350000,3.2
1353600,2.2
1357200,2.8
1360800,3.7
1364400,2.7
1368000,1.7
1371600,0.3
1375200,-0.3
1378800,-0.5
1382400,-1.2
1386000,-0.8
1389600,-1.9
1393200,-1.2
1396800,-1.2
1400400,-1.8
1404000,-1.8
1407600,-2.7
1411200,-2.7
1414800,-3
1418400,-3
1422000,-2.7
1425600,-2.6
1429200,-5
1432800,-5
1436400,-5.9
1440000,-6.6
1443600,-7.2
1447200,-7
1450800,-7.3
1454400,-8.3
1458000,-8.2
1461600,-8.4
1465200,-8.5
1468800,-8.5
1472400,-8.1
1476000,-8.5
1479600,-6.7
1483200,-5.2
1486800,-3.9
1490400,-4
1494000,-3.4
1497600,-3.2
1501200,-1.5
1504800,-2
1508400,-1.6
1512000,-1.4
1515600,-1.6
1519200,-3.1
1522800,-1.9
1526400,-1.8
1530000,-1
1533600,-0.4
1537200,-0.1
1540800,-0.3
1544400,0.1
1548000,-0.4
1551600,-0.6
1555200,-0.6
1558800,-0.7
1562400,-1
1566000,-2.1
1569600,-2.1
1573200,-2.8
1576800,-3.7
1580400,-3.5
1584000,-3.8
1587600,-4.4
1591200,-4.8
1594800,-3.1
1598400,-3.1
1602000,-4.1
1605600,-4.2
1609200,-4.7
1612800,-2.9
1616400,-2.4
1620000,-2.5
1623600,-3.2
1627200,-2.3
1630800,-2.1
1634400,-1.3
1638000,-0.4
1641600,-0.6
1645200,-1.2
1648800,-0.5
1652400,0.5
1656000,0.6
1659600,-0.1
1663200,0.3
1666800,0.1
1670400,0.2
1674000,0.1
1677600,0.5
1681200,0.2
1684800,0.3
1688400,0.2
1692000,0.6
1695600,0.7
1699200,0.7
1702800,0.8
1706400,1
1710000,1
1713600,0
1717200,-1.7
1720800,-1.2
1724400,-2.7
1728000,-0.1
1731600,0.6
1735200,-0.2
1738800,1.1
1742400,0.8
1746000,0.8
1749600,0.5
1753200,0.2
1756800,0
1760400,1.3
1764000,2
1767600,0.5
1771200,1.1
1774800,2.3
1778400,2.7
1782000,2.1
1785600,2.3
1789200,2.4
1792800,2.8
1796400,2.9
1800000,4.2
1803600,3.6
1807200,2.9
1810800,4.4
1814400,4.5
1818000,3.7
1821600,4
1825200,4.6
1828800,3.3
1832400,3.5
1836000,3.4
1839600,4.6
1843200,4.5
1846800,4.9
1850400,4.2
1854000,4.9
1857600,4.8
1861200,4.3
1864800,4
1868400,4
1872000,4.1
1875600,3.9
1879200,3.4
1882800,2.9
1886400,3.4
1890000,3.8
1893600,3.8
1897200,3.3
1900800,4.3
1904400,6.3
1908000,5.2
1911600,4.4
1915200,4.9
1918800,3
1922400,3.6
1926000,2.6
1929600,1.4
1933200,3.4
1936800,3.3
1940400,2.7
1944000,3.1
1947600,2.4
1951200,3.1
1954800,6
1958400,6.9
1962000,7.6
1965600,7.6
1969200,7.8
1972800,6.2
1976400,7.7
1980000,6.5
1983600,7.4
1987200,7.6
1990800,7.4
1994400,6.8
1998000,6.5
2001600,6.8
2005200,6.6
2008800,6.8
2012400,6.8
2016000,6.1
2019600,6
2023200,6
2026800,5.9
2030400,6
2034000,6
2037600,5.9
2041200,5.6
2044800,4.9
2048400,4.4
2052000,4.4
2055600,4.3
2059200,3.8
2062800,3.9
2066400,3.6
2070000,2.1
2073600,0.4
2077200,-0.1
2080800,-0.9
2084400,-1.6
2088000,-0.5
2091600,-0.7
2095200,-1.1
2098800,-0.4
2102400,1.6
2106000,3.7
2109600,4.1
2113200,4.3
2116800,4.6
2120400,3.6
2124000,2.7
2127600,1.9
2131200,0.4
2134800,0.4
2138400,0.1
2142000,-0.4
2145600,-0.7
2149200,-0.7
2152800,0.1
2156400,-0.4
2160000,0.1
2163600,-1.1
2167200,1.9
2170800,1.2
2174400,0.6
2178000,0.7
2181600,1
2185200,1.1
2188800,1.9
2192400,1.3
2196000,0.6
2199600,0.9
2203200,2
2206800,0.4
2210400,-0.3
2214000,0.6
2217600,0.7
2221200,1.6
2224800,3.3
2228400,3.8
2232000,1.3
2235600,3.6
2239200,4
2242800,4.8
2246400,4.8
2250000,5.1
2253600,4.8
2257200,4.3
2260800,5.2
2264400,2.5
2268000,1.9
2271600,1.7
2275200,1.5
2278800,0.3
2282400,0.8
2286000,0.8
2289600,0.6
2293200,2.1
2296800,-0.7
2300400,1.1
2304000,1.4
2307600,2.7
2311200,3.3
2314800,3.5
2318400,1.1
2322000,0.9
2325600,2.2
2329200,2.5
2332800,2.5
2336400,3.1
2340000,4.1
2343600,5.2
2347200,4.8
2350800,4.7
2354400,5.1
2358000,5.1
2361600,4.9
2365200,4.7
2368800,4.8
2372400,4.4
2376000,3.2
2379600,3
2383200,3
2386800,3.3
2390400,3.5
2394000,4.2
2397600,3.3
2401200,3.4
2404800,4.5
2408400,4.3
2412000,4.7
2415600,4.9
